personID INT primary key IDENTITY(1,1),firstname VARCHAR(256),lastname VARCHAR(256),numFlight INT,totalFlightTime INT
1,Abdul ,Ahad Mohmand,1,8
2,Akihiko ,Hoshide,2,140
3,Alan ,Bean,2,69
4,Alan ,G. Poindexter,2,27
5,Alan ,Shepard,2,9
6,Albert ,Sacco,1,15
7,Aleksandar ,Panayotov Aleksandrov,1,91
8,Aleksandr ,Balandin,1,179
9,Aleksandr ,Ivanchenkov,1,139
10,Aleksandr ,Laveykin,1,174
11,Aleksandr ,Lazutkin,1,184
12,Aleksandr ,Misurkin,2,333
13,Aleksandr ,Pavlovich Aleksandrov,2,309
14,Aleksandr ,Samokutyayev,2,331
15,Aleksandr ,Serebrov,4,372
16,Aleksandr ,Skvortsov,3,545
17,Aleksei ,Gubarev,2,37
18,Aleksei ,Leonov,2,7
19,Aleksei ,Yeliseyev,3,8
20,Aleksey ,Ovchinin,2,374
21,Alexander ,Gerst,2,361
22,Alexander ,Kaleri,5,769
23,Alexander ,Poleshchuk,1,179
24,Alexander ,Viktorenko,4,489
25,Alexander ,Volkov,3,391
26,Alfred ,Worden,1,12
27,Anatoli ,Berezovoy,1,211
28,Anatoli ,Ivanishin,3,425
29,Anatoli ,Levchenko,1,7
30,Anatoly ,Artsebarsky,1,144
31,Anatoly ,Filipchenko,2,10
32,Anatoly ,Solovyev,5,651
33,Andreas ,Mogensen,1,181
34,Andrei ,Borisenko,2,337
35,Andrew ,J. Feustel,3,224
36,Andrew ,M. Allen,3,37
37,Andrew ,R. Morgan,1,271
38,Andrew ,Thomas,4,177
39,Andriyan ,Nikolayev,2,21
40,Andr̩ ,Kuipers,2,203
41,Anna ,Lee Fisher M.D.,1,7
42,Anne ,McClain,1,203
43,Anousheh ,Ansari,1,10
44,Anthony ,W. England,1,7
45,Anton ,Shkaplerov,3,533
46,Arnaldo ,Tamayo M̩ndez,1,7
47,Aydyn ,Aimbetov,1,181
48,B. ,Alvin Drew,2,25
49,Barbara ,Morgan,1,12
50,Barry ,Wilmore,2,178
51,Bernard ,A. Harris Jr.,2,18
52,Bertalan ,Farkas,1,7
53,Bjarni ,Tryggvason,1,11
54,Bonnie ,J. Dunbar,5,50
55,Boris ,Morukov,1,10
56,Boris ,Volynov,2,52
57,Boris ,Yegorov M.D.,1,1
58,Brent ,W. Jett Jr.,4,41
59,Brewster ,Shaw,3,22
60,Brian ,Binnie,1,0
61,Brian ,Duffy,4,40
62,Bruce ,McCandless II,2,13
63,Bruce ,Melnick,2,13
64,Bryan ,O'Connor,2,15
65,Buzz ,Aldrin,2,12
66,Byron ,Lichtenberg,2,19
67,Carl ,Meade,3,29
68,Carl ,Walz,4,230
69,Carlos ,I. Noriega,2,20
70,Catherine ,Coleman,3,180
71,Charles ,"""Pete"" Conrad",4,49
72,Charles ,Bolden,4,28
73,Charles ,Camarda,1,13
74,Charles ,D. Walker,3,19
75,Charles ,Duke,1,11
76,Charles ,E. Brady Jr. M.D.,1,16
77,Charles ,Fullerton,2,15
78,Charles ,Gemar,3,24
79,Charles ,Hobaugh,3,35
80,Charles ,Precourt,4,38
81,Charles ,Simonyi,2,26
82,Charles ,Veach,2,18
83,Chen ,Dong,1,32
84,Chiaki ,Mukai M.D.,2,23
85,Chris ,Hadfield,3,165
86,Christer ,Fuglesang,2,26
87,Christina ,Koch,1,328
88,Christopher ,Cassidy,3,327
89,Christopher ,Ferguson,3,40
90,Claude ,Nicollier,4,43
91,Claudie ,Haigner̩ EAC,2,25
92,Clayton ,Anderson,2,166
93,Curtis ,Brown,6,58
94,Dafydd ,Williams M.D.,2,28
95,Dale ,Gardner,2,14
96,Daniel ,Barry,3,30
97,Daniel ,Brandenstein,4,32
98,Daniel ,Burbank,3,187
99,Daniel ,Bursch,4,226
100,Daniel ,Tani,2,131
101,David ,Griggs,1,6
102,David ,Hilmers,4,20
103,David ,Leestma,3,22
104,David ,M. Brown,1,15
105,David ,M. Walker,4,30
106,David ,Saint-Jacques,1,201
107,David ,Scott,3,22
108,David ,Wolf M.D.,4,169
109,Dennis ,Tito,1,7
110,Dick ,Scobee,1,6
111,Dirk ,Frimout,1,8
112,Dmitri ,Kondratyev,1,159
113,Dominic ,A. Antonelli,2,24
114,Dominic ,Gorie,4,48
115,Don ,Lind,1,7
116,Donald ,"""Deke"" Slayton",1,9
117,Donald ,McMonagle,3,25
118,Donald ,Peterson,1,5
119,Donald ,Pettit,3,370
120,Donald ,Thomas,4,43
121,Donald ,Williams,2,11
122,Donn ,F. Eisele,1,10
123,Dorothy ,M. Metcalf-Lindenburger,1,15
124,Douglas ,G. Hurley,3,92
125,Douglas ,Wheelock,2,178
126,Duane ,G. Carey,1,10
127,Dumitru ,Prunariu,1,7
128,Edgar ,Mitchell,1,9
129,Edward ,Gibson,1,84
130,Edward ,Lu,3,204
131,Edward ,White,1,4
132,Edwin ,J. Garn,1,6
133,Eileen ,Collins,4,36
134,Ellen ,Ochoa,4,40
135,Ellen ,S. Baker M.D.,3,28
136,Ellison ,Onizuka,1,3
137,Eric ,A. Boe,2,28
138,Ernst ,Messerschmid,1,7
139,Eugene ,Cernan,3,23
140,Eugene ,Trinh,1,13
141,Evgeny ,Tarelkin,1,143
142,F. ,Drew Gaffney M.D.,1,9
143,Fei ,Junlong,1,4
144,Franco ,Malerba,1,7
145,Frank ,Borman,2,19
146,Frank ,De Winne,2,198
147,Frank ,L. Culbertson Jr.,3,143
148,Franklin ,Chang-Diaz,7,66
149,Franz ,Viehb̦ck,1,7
150,Fred ,Haise,1,5
151,Frederick ,Gregory,3,18
152,Frederick ,Hauck,3,18
153,Frederick ,Sturckow,4,51
154,Frederick ,W. Leslie,1,15
155,Fyodor ,Yurchikhin,5,672
156,G. ,David Low,3,29
157,Garrett ,Reisman,2,107
158,Gary ,Payton,1,3
159,Gennadi ,Manakov,2,309
160,Gennadi ,Sarafanov,1,2
161,Gennady ,Padalka,5,878
162,Gennady ,Strekalov,5,268
163,George ,D. Zamka,2,28
