fundID INTEGER primary key IDENTITY(1,1),projectID INTEGER references projects on delete cascade,agencyAcr VARCHAR(256),cost FLOAT
238,322,ULA,145,
239,323,ILS,65,
240,324,SpaceX,62,
241,325,ISRO,31,
242,326,Northrop,46,
243,327,SpaceX,62,
244,330,ULA,109,
245,331,VKS RF,65,
246,332,SpaceX,62,
247,334,Arianespace,37,
248,337,Roscosmos,48.5,
249,338,SpaceX,62,
250,340,Arianespace,200,
251,341,SpaceX,62,
252,342,SpaceX,62,
253,344,ISRO,31,
254,345,CASC,29.15,
255,346,CASC,64.68,
256,347,Roscosmos,48.5,
257,348,ILS,65,
258,349,ISRO,62,
259,350,SpaceX,62,
260,351,Arianespace,200,
261,352,MHI,90,
262,354,Rocket Lab,7.5,
263,356,SpaceX,62,
264,357,ISRO,47,
265,358,Arianespace,200,
266,359,SpaceX,62,
267,362,ULA,109,
268,363,CASC,29.15,
269,364,SpaceX,62,
270,366,MHI,90,
271,367,SpaceX,62,
272,368,Arianespace,37,
273,370,ULA,109,
274,372,SpaceX,62,
275,373,ISRO,31,
276,374,Arianespace,200,
277,377,ULA,109,
278,379,SpaceX,62,
279,381,CASC,29.15,
280,382,CASC,29.75,
281,383,Arianespace,200,
282,384,CASC,29.75,
283,386,ULA,130,
284,387,Northrop,40,
285,388,CASC,29.15,
286,389,MHI,112.5,
287,391,ISRO,31,
288,392,Arianespace,37,
289,395,ULA,145,
290,398,CASC,29.75,
291,399,ULA,109,
292,400,CASC,15,
293,402,MHI,90,
294,404,Northrop,85,
295,407,Arianespace,200,
296,408,ISRO,25,
297,409,Arianespace,37,
298,412,ULA,115,
299,413,ISRO,47,
300,414,SpaceX,62,
301,415,CASC,64.68,
302,416,Arianespace,200,
303,417,ULA,164,
304,418,CASC,29.75,
305,419,SpaceX,62,
306,420,CASC,64.68,
307,421,CASC,29.15,
308,422,ULA,123,
309,423,SpaceX,62,
310,426,CASC,64.68,
311,428,ULA,153,
312,429,ISRO,31,
313,431,Arianespace,200,
314,432,SpaceX,62,
315,434,ULA,350,
316,435,ILS,65,
317,436,VKS RF,41.8,
318,437,CASC,64.68,
319,438,VKS RF,48.5,
320,439,SpaceX,62,
321,441,CASC,29.75,
322,442,SpaceX,62,
323,443,ISRO,31,
324,446,SpaceX,62,
325,447,CASC,29.75,
326,449,Roscosmos,48.5,
327,450,CASC,69.7,
328,451,VKS RF,48.5,
329,452,ULA,109,
330,454,Roscosmos,65,
331,455,Roscosmos,35,
332,456,ISRO,31,
333,457,Arianespace,200,
334,458,SpaceX,62,
335,459,MHI,90,
336,460,Eurockot,41.8,
337,463,VKS RF,48.5,
338,464,ULA,109,
339,466,ILS,65,
340,467,Arianespace,200,
341,469,ISRO,31,
342,470,SpaceX,56.5,
343,471,CASC,29.15,
344,472,SpaceX,62,
345,474,ISRO,21,
346,476,ULA,109,
347,478,Arianespace,37,
348,481,Arianespace,200,
349,482,Sandia,15,
350,483,ULA,109,
351,484,ULA,109,
352,485,ULA,123,
353,486,Arianespace,200,
354,487,ISRO,31,
355,488,CASC,15,
356,489,VKS RF,41.8,
357,492,ULA,153,
358,493,ISRO,47,
359,494,Arianespace,200,
360,495,MHI,112.5,
361,497,Arianespace,200,
362,498,ULA,109,
363,499,ISRO,31,
364,500,SpaceX,56.5,
365,501,Arianespace,37,
366,502,Arianespace,200,
367,503,ULA,120,
368,505,SpaceX,56.5,
369,506,Arianespace,200,
370,507,SpaceX,56.5,
371,508,VKS RF,41.8,
372,509,ISRO,31,
373,511,MHI,90,
374,512,Kosmotras,29,
375,513,ULA,164,
376,514,ULA,123,
377,515,SpaceX,56.5,
378,517,SpaceX,56.5,
379,518,Arianespace,37,
380,520,MHI,90,
381,522,ULA,153,
382,523,SpaceX,56.5,
383,527,ISRO,62,
384,528,ULA,145,
385,529,Arianespace,200,
386,530,ULA,350,
387,531,MHI,90,
388,533,Kosmotras,29,
389,534,ULA,109,
390,535,Northrop,80,
391,536,Arianespace,200,
392,537,ISRO,31,
393,538,MHI,90,
394,539,SpaceX,56.5,
395,540,ULA,109,
396,541,Arianespace,200,
397,542,SpaceX,56.5,
398,544,ULA,109,
399,545,SpaceX,56.5,
400,546,ULA,109,
401,548,ULA,164,
402,549,SpaceX,56.5,
403,550,Northrop,80,
404,553,VKS RF,41.8,
405,555,ISRO,21,
406,556,Kosmotras,29,
407,558,MHI,90,
408,559,VKS RF,41.8,
409,560,ULA,109,
410,561,ULA,164,
411,562,Arianespace,37,
412,563,SpaceX,56.5,
413,564,ULA,145,
414,566,ISRO,31,
415,568,ULA,109,
416,569,Arianespace,200,
417,570,MHI,90,
418,571,ULA,164,
419,572,Arianespace,200,
420,573,ULA,109,
421,574,Northrop,80,
422,575,SpaceX,56.5,
423,576,ISRO,47,
424,578,VKS RF,41.8,
425,580,ULA,120,
426,581,SpaceX,56.5,
427,582,VKS RF,41.8,
428,583,Kosmotras,29,
429,584,Northrop,40,
430,585,ULA,109,
431,586,ISRO,31,
432,587,SpaceX,56.5,
433,589,ULA,140,
434,591,Northrop,80,
435,592,VKS RF,41.8,
436,593,Northrop,55,
437,595,Arianespace,200,
438,596,ULA,350,
439,597,Kosmotras,29,
440,599,MHI,112.5,
441,600,Arianespace,200,
442,601,ULA,153,
443,602,VKS RF,65,
444,603,ISRO,31,
445,604,Northrop,40,
446,610,ULA,109,
447,611,Arianespace,37,
448,612,Northrop,80,
449,613,ULA,109,
450,614,SpaceX,59.5,
451,615,ISRO,21,
