spacecraftUsedID INTEGER,projectID INTEGER ,launcherName VARCHAR(256),spacecraftName VARCHAR(256)
1275,1275,Delta II 7425 ,Mars Climate Orbiter
1276,1276,Cosmos-3M (11K65M) ,Nadiezhda nâ€ Â­8 
1277,1277,Pegasus XL ,SWAS
1278,1278,Ariane 42L ,Satmex 5
1279,1279,Space Shuttle Endeavour ,STS-88
1280,1280,Delta II 7925 ,BONUM-1
1281,1281,Delta II 7920-10C ,MS-11
1282,1282,Space Shuttle Discovery ,STS-95
1283,1283,Ariane 44L ,Afristar
1284,1284,Pegasus ,SCD-2
1285,1285,Ariane 5 G ,MaqSat 3 
1286,1286,Atlas IIA ,UHF F9
1287,1287,Atlas IIA ,Hot Bird 5
1288,1288,Ariane 44L ,Eutelsat W2
1289,1289,Minotaur C (Taurus) ,STEX (NROL-8)
1290,1290,Molniya-M /Block ML ,Molniya-1T nâ€ Â­168
1291,1291,Pegasus XL/HAPS ,Orbcomm C1 - C8
1292,1292,Ariane 44LP ,Panamsat-7
1293,1293,Zenit-2 ,Globalstar Satellites
1294,1294,Delta II 7920-10C ,MS-10
1295,1295,Taepodong-1 ,KwangmyÂÂngsÂÂng 1
1296,1296,Delta III 8930 ,Galaxy 10
1297,1297,Ariane 44P ,ST-1
1298,1298,Delta II 7920-10C ,Deep Space 1
1299,1299,Long March 2C ,Iridium 76 
1300,1300,Molniya-M /Block ML ,Molniya-1 nâ€ Â­133
1301,1301,Titan IV(401)A ,NROL-7 (Mercury)
1302,1302,Pegasus XL/HAPS ,Orbcomm B1 - B8
1303,1303,Zenit-2 ,Cosmos 2360
1304,1304,Zenit-2 ,Resurs-O1 nâ€ Â­4 
1305,1305,Shtil' ,Tubsat
1306,1306,Mu-V / M-24 ,Nozomi
1307,1307,Molniya-M /Block ML ,Molniya-3 nâ€ Â­167
1308,1308,Atlas IIAS ,Intelsat 805
1309,1309,Long March 3B ,SinoSat 1
1310,1310,Tsyklon-3 ,Cosmos 2352 to 2357
1311,1311,Delta II 7925 ,Thor III
1312,1312,Space Shuttle Discovery ,STS-91
1313,1313,Long March 3B ,ChinaStar 1
1314,1314,Delta II 7920-10C ,MS-9
1315,1315,Titan II(23)G ,NOAA-15
1316,1316,Titan IV(401)B ,NROL-6 (Mentor)
1317,1317,Molniya-M /Block 2BL ,Cosmos 2351
1318,1318,Long March 2C ,Iridium 69 
1319,1319,Ariane 44P ,Nilesat-101
1320,1320,Delta II 7920-10C ,Globalstar-2
1321,1321,Space Shuttle Columbia ,STS-90
1322,1322,Pegasus XL ,TRACE
1323,1323,Delta II 7920-10C ,MS-8
1324,1324,Long March 2C ,Iridium 51 
1325,1325,Ariane 40 ,SPOT-4
1326,1326,Atlas II ,UHF F8
1327,1327,Atlas IIAS ,Intelsat 806
1328,1328,Ariane 42P ,Hot Bird 4
1329,1329,Pegasus XL ,SNOE 
1330,1330,H-II ,Kakehashi
1331,1331,Delta II 7920-10C ,MS-7
1332,1332,Delta II 7420-10C ,Globalstar-1
1333,1333,Minotaur C (Taurus) ,GFO 
1334,1334,Ariane 44LP ,Brasilsat B3
1335,1335,Atlas IIA ,NROL-5/SDS
1336,1336,Shavit ,Ofek-4
1337,1337,Space Shuttle Endeavour ,STS-89
1338,1338,Delta II 7925 ,Skynet 4D
1339,1339,Athena II ,Lunar Prospector
1340,1340,Proton K/Block DM-3 ,PAS-22
1341,1341,Start-1 ,Earlybird 1
1342,1342,Pegasus XL/HAPS ,Orbcomm A1-A8
1343,1343,Ariane 42L ,Intelsat 804
1344,1344,Delta II 7920-10C ,MS-6
1345,1345,Ariane 44L ,Sirius-2
1346,1346,Tsyklon-2 ,Cosmos 2347
1347,1347,Atlas IIAS ,Galaxy 8i
1348,1348,Long March 2C ,Iridium 42 
1349,1349,Ariane 44P ,JCSAT-5
1350,1350,H-II ,TRMM 
1351,1351,Space Shuttle Columbia ,STS-87
1352,1352,Delta II 7920-10C ,MS-5
1353,1353,Titan IV(401)A ,NROL-4 (Trumpet)
1354,1354,Delta II 7925 ,USA-134 (GPS IIA-19)
1355,1355,VLS-1 ,SCD-2A
1356,1356,Ariane 5 G ,MaqSat-H
1357,1357,Atlas IIA ,DSCS IIIB-13
1358,1358,Titan IV(403)A ,NROL-3 (Lacrosse)
1359,1359,Pegasus XL ,STEP-4
1360,1360,Long March 3B ,Apstar 2R
1361,1361,Titan IV(401)B ,Cassini???Huygens
1362,1362,Atlas IIAS ,Echostar 3
1363,1363,PSLV-G ,IRS-1D
1364,1364,Delta II 7920-10C ,MS-4
1365,1365,Space Shuttle Atlantis ,STS-86
1366,1366,Molniya-M /Block ML ,Molniya-1T nâ€ Â­166
1367,1367,Ariane 44LP ,Intelsat 803
1368,1368,Cosmos-3M (11K65M) ,Cosmos 2346 
1369,1369,Atlas IIAS ,GE-3
1370,1370,Ariane 44LP ,Hot Bird 3
1371,1371,Long March 2C ,Iridium mass simulator A
1372,1372,Pegasus XL ,FORTE
1373,1373,Delta II 7920-8 ,Advanced Composition Explorer
1374,1374,Athena I ,Lewis
1375,1375,Delta II 7920-10C ,MS-3
1376,1376,Long March 3B ,Agila-2
1377,1377,Ariane 44P ,Panamsat-6
1378,1378,Space Shuttle Discovery ,STS-85
1379,1379,Pegasus XL ,OrbView-2
1380,1380,Atlas IIAS ,Superbird C
1381,1381,Delta II 7925 ,USA-132 (GPS IIR-2)
1382,1382,Delta II 7920-10C ,MS-2
1383,1383,Space Shuttle Columbia ,STS-94
1384,1384,Ariane 44P ,Intelsat 802
1385,1385,Long March 3 ,Fengyun-2A
1386,1386,Ariane 44L ,Inmarsat 3 F4
1387,1387,Delta II 7925 ,Telenor Thor II
1388,1388,Zenit-2 ,Tselina-2 nâ€ Â­19
1389,1389,Space Shuttle Atlantis ,STS-84
1390,1390,Molniya-M /Block 2BL ,Cosmos 2342
1391,1391,Long March 3A ,ChinaSat 6
1392,1392,Delta II 7920-10C ,MS-1
1393,1393,Atlas I ,GOES-K
1394,1394,Pegasus XL ,MiniSat 
1395,1395,Cosmos-3M (11K65M) ,Cosmos 2341
1396,1396,Ariane 44LP ,Thaicom 3
1397,1397,Space Shuttle Columbia ,STS-83
1398,1398,Titan II(23)G ,USA-131
1399,1399,Atlas IIA ,Tempo 2
1400,1400,Start-1 ,Zeya
1401,1401,Ariane 44P ,Intelsat 801
1402,1402,Titan IV(402)B ,DSP
1403,1403,Atlas IIAS ,JCSAT-4
1404,1404,Tsyklon-3 ,Cosmos 2337 to 2339 
1405,1405,Mu-V / M-24 ,Muses B
1406,1406,Space Shuttle Discovery ,STS-82
1407,1407,Ariane 44L ,GE-2
1408,1408,Delta II 7925 ,GPS IIR-1
1409,1409,Space Shuttle Atlantis ,STS-81
1410,1410,Titan IV(404)A ,NROL-2 (KH-11 Kennen)
1411,1411,Cosmos-3M (11K65M) ,Cosmos 2336
1412,1412,Atlas IIA ,Inmarsat 3-F3
1413,1413,Tsyklon-2 ,Cosmos 2335
1414,1414,Space Shuttle Columbia ,STS-80
1415,1415,Delta II 7925 ,Mars Pathfinder
1416,1416,Atlas IIA ,Hot Bird 2
1417,1417,Ariane 44L ,Arabsat-2B
1418,1418,Delta II 7925 ,Mars Global Surveyor
1419,1419,Pegasus XL ,HETE 
1420,1420,Molniya-M /Block ML ,Molniya-3 nâ€ Â­165
1421,1421,Long March 2D ,FSW-2 No.3
1422,1422,Space Shuttle Atlantis ,STS-79
1423,1423,Delta II 7925 ,USA-128 (GPS IIA-18)
1424,1424,Ariane 42P ,Echostar-2
1425,1425,Atlas IIA ,GE-1
1426,1426,Cosmos-3M (11K65M) ,Cosmos 2334 
1427,1427,Zenit-2 ,Cosmos 2333
1428,1428,Molniya-M /Block SO-L ,Interbol 2
1429,1429,Pegasus XL ,FAST
1430,1430,Long March 3 ,Chinasat-7
1431,1431,H-II (2 SSB) ,Fuji 2 
1432,1432,Molniya-M /Block ML ,Molniya-1T nâ€ Â­164
1433,1433,Ariane 44L ,Italsat F2
1434,1434,Atlas II ,UHF F7
1435,1435,Delta II 7925 ,USA-126 (GPS IIA-17)
1436,1436,Ariane 44L ,Arabsat-2A
1437,1437,Long March 3 ,Apstar 1A
1438,1438,Titan IV(405)A ,SDS
1439,1439,Pegasus XL ,TOMS
1440,1440,Space Shuttle Columbia ,STS-78
1441,1441,Ariane 44P ,Intelsat 709
1442,1442,Ariane 5 G ,Cluster
1443,1443,Delta II 7925 ,Galaxy 9
1444,1444,Space Shuttle Endeavour ,STS-77
1445,1445,Pegasus ,MSTI-3
1446,1446,Ariane 44L ,Palapa C2
1447,1447,Titan IV(403)A ,SLDCOM
1448,1448,Atlas I ,BeppoSAX
1449,1449,Titan IV(401)A ,Mercury
1450,1450,Cosmos-3M (11K65M) ,Cosmos 2265
1451,1451,Delta II 7920-10 ,MSX
1452,1452,Ariane 42P ,M-SAT-1
1453,1453,Atlas IIA ,Inmarsat 3-F1
1454,1454,Delta II 7925 ,USA-117 (GPS IIA-16)
1455,1455,Space Shuttle Atlantis ,STS-76
1456,1456,PSLV-G ,IRS-P3
1457,1457,Ariane 44LP ,Intelsat 707
1458,1458,Pegasus XL ,REX II
1459,1459,Delta II 7925-10 ,Polar
1460,1460,Space Shuttle Columbia ,STS-75
1461,1461,Tsyklon-3 ,Cosmos 2328 to 2330 
1462,1462,Delta II 7925-8 ,NEAR
1463,1463,Long March 3B ,Intelsat 708
1464,1464,Ariane 44P ,N-Star B
1465,1465,Atlas IIAS ,Palapa C1
1466,1466,Cosmos-3M (11K65M) ,Cosmos 2327
1467,1467,Delta II 7925 ,Koreasat-2
1468,1468,Ariane 44L ,Panamsat-3R
1469,1469,Space Shuttle Endeavour ,STS-72
1470,1470,Delta II 7920-10 ,XTE
1471,1471,Long March 2E ,EchoStar 1
1472,1472,Molniya-M /Block 2BL ,IRS-1C 
1473,1473,Tsyklon-2 ,Cosmos 2326
1474,1474,Atlas IIA ,Galaxy 3R
1475,1475,Ariane 44L ,Telecom 2C
1476,1476,Titan IV(404)A ,KH-11 Kennen
1477,1477,Atlas IIAS ,SOHO
1478,1478,Long March 2E ,AsiaSat 2
1479,1479,Ariane 44P ,Infrared Space Observatory
1480,1480,Space Shuttle Atlantis ,STS-74
1481,1481,Titan IV(401)A ,Milstar DFS-2
1482,1482,Delta II 7920-10 ,RADARSAT-1 and SURFSAT
1483,1483,Zenit-2 ,Cosmos 2322
1484,1484,Conestoga-1620 ,METEOR
1485,1485,Atlas II ,USA-114 (UHF F6)
1486,1486,Space Shuttle Columbia ,STS-73
1487,1487,Ariane 42L ,Astra 1E
1488,1488,Cosmos-3M (11K65M) ,Cosmos 2321
1489,1489,Ariane 42L ,Telstar 402R
1490,1490,Space Shuttle Endeavour ,STS-69
1491,1491,Delta II 7925 ,Koreasat 1
1492,1492,Tsyklon-3 ,Sich 1 
1493,1493,Ariane 42P ,N-Star A
1494,1494,Atlas IIAS ,JCSAT-3
1495,1495,Athena I ,GemStar 1
1496,1496,Molniya-M /Block ML ,Molniya-3 nâ€ Â­163
1497,1497,Ariane 42L ,Panamsat-4
1498,1498,Molniya-M /Block SO-L ,Interbol 1 
1499,1499,Atlas IIA ,USA-113 (DSCS IIIB-7)
1500,1500,Space Shuttle Discovery ,STS-70
1501,1501,Titan IV(401)A ,Trumpet
1502,1502,Ariane 40 ,Helios 1A
1503,1503,Cosmos-3M (11K65M) ,Cosmos 2315
1504,1504,Space Shuttle Atlantis ,STS-71
1505,1505,Pegasus XL ,STEP-3
1506,1506,Ariane 42P ,DBS-3
1507,1507,Tsyklon-2 ,Cosmos 2313
1508,1508,Atlas II ,USA-111 (UHF F5)
1509,1509,Molniya-M /Block 2BL ,Cosmos 2312
1510,1510,Atlas I ,GOES-J
1511,1511,Ariane 44LP ,Intelsat 706
1512,1512,Titan IV(401)A ,Mentor
1513,1513,Ariane 40 ,ERS-2
1514,1514,Atlas IIA ,AMSC-1
1515,1515,Shavit ,Ofek-3
1516,1516,Pegasus ,Orbcomm F1 and F2 
1517,1517,Ariane 44LP ,Brasilsat B2
1518,1518,Start ,EKA-2
1519,1519,Atlas-E/F Star-37S-ISS ,DMSP F-13
1520,1520,Atlas IIAS ,Intelsat 705
1521,1521,Cosmos-3M (11K65M) ,Cosmos 2310
1522,1522,H-II ,Himawari 5 
1523,1523,Cosmos-3M (11K65M) ,Cosmos 2306
1524,1524,Space Shuttle Endeavour ,STS-67
1525,1525,Space Shuttle Discovery ,STS-63
1526,1526,Atlas II ,USA-108 (UHF F4)
1527,1527,Long March 2E ,Apstar 2
1528,1528,Cosmos-3M (11K65M) ,Tsikada 1
1529,1529,Mu-III S2 ,EXPRESS
1530,1530,Atlas IIAS ,Intelsat 704
1531,1531,Atlas-E/F Star-37S-ISS ,NOAA-J
1532,1532,Rokot/Briz K ,Radio-ROSTO
1533,1533,Tsyklon-3 ,Cosmos 2299 to 2304
1534,1534,Titan IV(402)A ,DSP
1535,1535,Cosmos-3M (11K65M) ,Cosmos 2298
1536,1536,Molniya-M /Block ML ,Molniya-1T nâ€ Â­162
1537,1537,Ariane 42P ,Panamsat-3
1538,1538,Long March 3A ,Chinasat-5
1539,1539,Atlas IIA ,Orion 1
1540,1540,Tsyklon-3 ,Geo-IK 1
1541,1541,Zenit-2 ,Cosmos 2297
1542,1542,Zenit-2 ,Resurs-O1 nâ€ Â­3
1543,1543,Space Shuttle Atlantis ,STS-66
1544,1544,Tsyklon-2 ,Cosmos 2293
1545,1545,Delta II 7925-10 ,Wind
1546,1546,Ariane 42P ,Astra 1D
1547,1547,PSLV-G ,IRS-P2
1548,1548,Tsyklon-3 ,Okean 4
1549,1549,Ariane 44L ,Solidaridad-2
1550,1550,Atlas IIAS ,Intelsat 703
1551,1551,Space Shuttle Endeavour ,STS-68
1552,1552,Cosmos-3M (11K65M) ,Cosmos 2292
1553,1553,Space Shuttle Discovery ,STS-64
1554,1554,Ariane 42L ,Telstar 402
1555,1555,Pegasus ,APEX
1556,1556,Atlas-E/F Star-37S-ISS ,DMSP F-12
1557,1557,H-II ,Kiku 6
1558,1558,Long March 2E ,Optus-B3
1559,1559,Titan IV(401)A ,Mercury
1560,1560,Zenit-2 ,Cosmos 2290
1561,1561,Molniya-M /Block ML ,Molniya-3 nâ€ Â­161
1562,1562,Ariane 44LP ,Brasilsat B1
1563,1563,Molniya-M /Block 2BL ,Cosmos 2286
1564,1564,Atlas IIA ,DBS-2
1565,1565,Cosmos-3M (11K65M) ,Cosmos 2285
1566,1566,Long March 3 ,Apstar-1
1567,1567,Cosmos-3M (11K65M) ,Nadiezhda nâ€ Â­7
1568,1568,Ariane 44L ,Panamsat-2
1569,1569,Space Shuttle Columbia ,STS-65
1570,1570,Long March 2D ,FSW-2 No.2
1571,1571,Pegasus XL ,STEP-1
1572,1572,Atlas I ,UHF F3
1573,1573,Ariane 44LP ,Intelsat 702
1574,1574,Tsyklon-3 ,Cosmos 2281
1575,1575,Pegasus/HAPS ,STEP-2
1576,1576,ASLV ,SROSS C2
1577,1577,Titan IV(401)A ,Trumpet
1578,1578,Cosmos-3M (11K65M) ,Cosmos 2279
1579,1579,Zenit-2 ,Cosmos 2278
1580,1580,Atlas I ,GOES-I
1581,1581,Space Shuttle Endeavour ,STS-59
1582,1582,Delta II 7925-8 ,Galaxy 1R
1583,1583,Minotaur C (Taurus) ,STEP Mission 0 
1584,1584,Delta II 7925 ,USA-100 (GPS IIA-15)/SEDS-2
1585,1585,Space Shuttle Columbia ,STS-62
1586,1586,Tsyklon-3 ,Koronas I
1587,1587,Tsyklon-3 ,Cosmos 2268 to 2273
1588,1588,Long March 3A ,Shijian 4
1589,1589,Titan IV(401)A ,Milstar DFS-1
1590,1590,H-II ,Ryusei 
1591,1591,Space Shuttle Discovery ,STS-60
1592,1592,Titan II(23)G ,Clementine
1593,1593,Tsyklon-3 ,Meteor-3 nâ€ Â­6 
1594,1594,Ariane 44LP ,Eutelsat 2F5
1595,1595,Molniya-M /Block ML ,Molniya-1T nâ€ Â­160
1596,1596,Ariane 44L ,DBS-1
1597,1597,Atlas IIAS ,Telstar 401
1598,1598,Delta II 7925 ,NATO 4B
1599,1599,Space Shuttle Endeavour ,STS-61
1600,1600,Atlas II ,USA-97 (DSCS IIIB-10
1601,1601,Ariane 44LP ,Solidaridad 1
1602,1602,Cosmos-3M (11K65M) ,Cosmos 2266
1603,1603,Delta II 7925 ,USA-96 (GPS IIA-14)
1604,1604,Cosmos-3M (11K65M) ,Cosmos 2265
1605,1605,Ariane 44LP ,Intelsat 701
1606,1606,Space Shuttle Columbia ,STS-58
1607,1607,Long March 2C ,FSW-1 No.5
1608,1608,Titan II(23)G ,Landsat 6
1609,1609,Ariane 40 ,SPOT-3
1610,1610,PSLV-G ,IRS-P1
1611,1611,Tsyklon-2 ,Cosmos 2264
1612,1612,Zenit-2 ,Cosmos 2263
1613,1613,Space Shuttle Discovery ,STS-51
1614,1614,Atlas I ,UHF F2
1615,1615,Tsyklon-3 ,Meteor-2 nâ€ Â­21 
1616,1616,Delta II 7925 ,USA-94 (GPS IIA-13)
1617,1617,Molniya-M /Block 2BL ,Cosmos 2261
1618,1618,Atlas-E/F Star-37S-ISS ,NOAA-I
1619,1619,Molniya-M /Block ML ,Molniya-3 nâ€ Â­159
1620,1620,Titan IV(403)A ,SLDCOM 
1621,1621,Ariane 44L ,Hispasat 1B
1622,1622,Atlas II ,USA-93 (DSCS IIIB-9)
1623,1623,Tsyklon-2 ,Cosmos 2258
1624,1624,Delta II 7925 ,USA-92 (GPS IIA-12)/PMG
1625,1625,Ariane 44P ,Galaxy-4
1626,1626,Tsyklon-3 ,Cosmos 2252 to 2257
1627,1627,Space Shuttle Endeavour ,STS-57
1628,1628,Cosmos-3M (11K65M) ,Cosmos 2251
1629,1629,Molniya-M /Block ML ,Molniya-1 nâ€ Â­158
1630,1630,Delta II 7925 ,USA-91 (GPS IIA-11)
1631,1631,Ariane 42L ,Astra 1C
1632,1632,Tsyklon-3 ,Cosmos 2245 to 2250
1633,1633,Tsyklon-2 ,Cosmos 2244
1634,1634,Space Shuttle Columbia ,STS-55
1635,1635,Pegasus ,ALEXIS
1636,1636,Molniya-M /Block ML ,Molniya-3 nâ€ Â­157
1637,1637,Tsyklon-3 ,Cosmos 2242
1638,1638,Molniya-M /Block 2BL ,Cosmos 2340
1639,1639,Space Shuttle Discovery ,STS-56
1640,1640,Molniya-M /Block 2BL ,Cosmos 2241
1641,1641,Cosmos-3M (11K65M) ,Cosmos 2239
1642,1642,Tsyklon-2 ,Cosmos 2238
1643,1643,Delta II 7925 ,USA-90 (GPS IIA-10)/SEDS-1
1644,1644,Zenit-2 ,Cosmos 2237
1645,1645,Atlas I ,UHF F1
1646,1646,Start-1 ,EKA-1
1647,1647,Tsyklon-3 ,Cosmos 2242
1648,1648,Mu-III S2 ,Asuka
1649,1649,Pegasus ,SCD-1
1650,1650,Cosmos-3M (11K65M) ,Cosmos 2233
1651,1651,Delta II 7925 ,USA-88 (GPS IIA-9)
1652,1652,Molniya-M /Block 2BL ,Cosmos 2232
1653,1653,Space Shuttle Endeavour ,STS-54
1654,1654,Molniya-M /Block ML ,Molniya-1 nâ€ Â­156
1655,1655,Cosmos-3M (11K65M) ,Cosmos 2230
1656,1656,Tsyklon-3 ,Cosmos 2228
1657,1657,Zenit-2 ,Cosmos 2227
1658,1658,Tsyklon-3 ,Cosmos 2226
1659,1659,Long March 2E ,Optus-B2
1660,1660,Delta II 7925 ,USA-87 (GPS IIA-8)
1661,1661,Space Shuttle Discovery ,STS-53
1662,1662,Molniya-M /Block ML ,Molniya-3 nâ€ Â­155
1663,1663,Ariane 42P ,Superbird A1
1664,1664,Titan IV(404)A ,KH-11 Kennen
1665,1665,Molniya-M /Block 2BL ,Cosmos 2222
1666,1666,Tsyklon-3 ,Cosmos 2221
1667,1667,Delta II 7925 ,USA-85 (GPS IIA-7)
1668,1668,Molniya-M /Block 2BL ,Cosmos 2217
1669,1669,Zenit-2 ,Cosmos 2219
1670,1670,Cosmos-3M (11K65M) ,Cosmos 2218
1671,1671,Ariane 42P ,Galaxy-7
1672,1672,Space Shuttle Columbia ,STS-52
1673,1673,Tsyklon-3 ,Cosmos 2211 to 2216
1674,1674,Molniya-M /Block ML ,Molniya-3 nâ€ Â­154
1675,1675,Delta II 7925 ,DFS Kopernikus 3
1676,1676,Long March 2C ,FSW-1 No.4
1677,1677,Commercial Titan III ,Mars Observer
1678,1678,Space Shuttle Endeavour ,STS-47
1679,1679,Ariane 44LP ,Hispasat 1A
1680,1680,Delta II 7925 ,USA-84 (GPS IIA-6)
1681,1681,Atlas I ,Galaxy 1R
1682,1682,Long March 2E ,Optus-B1
1683,1683,Cosmos-3M (11K65M) ,Cosmos 2208
1684,1684,Ariane 42P ,TOPEX/Poseidon
1685,1685,Long March 2D ,FSW-2 No.1
1686,1686,Molniya-M /Block NVL ,Molniya-1 nâ€ Â­153
1687,1687,Space Shuttle Atlantis ,STS-46
1688,1688,Delta II 6925 ,GEOTAIL
1689,1689,Delta II 7925 ,Satcom C4
1690,1690,Tsyklon-3 ,Cosmos 2197 to 2202
1691,1691,Ariane 44L ,Insat-2A
1692,1692,Molniya-M /Block 2BL ,Cosmos 2196
1693,1693,Delta II 7925 ,USA-83 (GPS IIA-5)
1694,1694,Atlas II ,USA-82 (DSCS IIIB-12)
1695,1695,Cosmos-3M (11K65M) ,Cosmos 2195
1696,1696,Space Shuttle Columbia ,STS-50
1697,1697,Atlas IIA ,Intelsat K
1698,1698,Delta II 6920-10 ,EUVE
1699,1699,Cosmos-3M (11K65M) ,Cosmos 2187 to 2194
1700,1700,Delta II 7925 ,Palapa B4
1701,1701,Space Shuttle Endeavour ,STS-49
1702,1702,Titan II(23)G ,USA-81
1703,1703,Ariane 44L ,Telecom 2B
1704,1704,Cosmos-3M (11K65M) ,Cosmos 2184
1705,1705,Delta II 7925 ,USA-80 (GPS IIA-4)
1706,1706,Space Shuttle Atlantis ,STS-45
1707,1707,Delta II 7925 ,USA-79 (GPS IIA-3)
1708,1708,Atlas I ,Galaxy 5
1709,1709,Cosmos-3M (11K65M) ,Cosmos 2181
1710,1710,Molniya-M /Block ML ,Molniya-1 nâ€ Â­152
1711,1711,Ariane 44L ,Superbird-B1
1712,1712,Cosmos-3M (11K65M) ,Cosmos 2180
1713,1713,H-I (9 SO) ,JERS 1
1714,1714,Atlas II ,USA-78 (DSCS IIIB-14)
1715,1715,Zenit-2 ,Tselina-2 nâ€ Â­10
1716,1716,Molniya-M /Block 2BL ,Cosmos 2176
1717,1717,Space Shuttle Discovery ,STS-42
1718,1718,Long March 3 ,DFH-2A-T5
1719,1719,Rokot/Briz K ,GVM Demo Flight
1720,1720,Tsyklon-3 ,Intercosmos 25 
1721,1721,Ariane 44L ,Telecom 2A
1722,1722,Atlas II ,Eutelsat 2F3
1723,1723,Atlas-E/F Star-37S-ISS ,DMSP F-11
1724,1724,Cosmos-3M (11K65M) ,Cosmos 2173
1725,1725,Space Shuttle Atlantis ,STS-44
1726,1726,Tsyklon-3 ,Cosmos 2165 to 2170
1727,1727,Titan IV(403)A ,SLDCOM 
1728,1728,Ariane 44L ,Intelsat 6AF1
1729,1729,Cosmos-3M (11K65M) ,Cosmos 2164
1730,1730,Tsyklon-3 ,Cosmos 2157 to 2162
1731,1731,Ariane 44P ,Anik E1
1732,1732,Molniya-M /Block ML ,Molniya-3 nâ€ Â­151
1733,1733,Space Shuttle Discovery ,STS-48
1734,1734,Zenit-2 ,Tselina-2 nâ€ Â­9
1735,1735,Mu-III S2 ,Yohkoh
1736,1736,Vostok-2M ,IRS-1B
1737,1737,H-I UM-129A (9SO) ,BS-3B
1738,1738,H-I (9 SO) ,BS-3B (Yuri-3B)
1739,1739,Cosmos-3M (11K65M) ,Cosmos 2154
1740,1740,Tsyklon-3 ,Meteor-3 nâ€ Â­5
1741,1741,Ariane 44L ,Intelsat 605
1742,1742,Space Shuttle Atlantis ,STS-43
1743,1743,Molniya-M /Block ML ,Molniya-1 nâ€ Â­150
1744,1744,Pegasus/HAPS ,7 Microsats
1745,1745,Ariane 40 ,ERS-1
1746,1746,Delta II 7925 ,USA-71 (GPS IIA-2)
1747,1747,Cosmos-3M (11K65M) ,Ta??foun nâ€ Â­59
1748,1748,Molniya-M /Block ML ,Molniya-1 nâ€ Â­149
1749,1749,Tsyklon-3 ,Cosmos 2151
1750,1750,Cosmos-3M (11K65M) ,Cosmos 2150
1751,1751,Space Shuttle Columbia ,STS-40
1752,1752,Tsyklon-3 ,Okean 3
1753,1753,Delta II 7925 ,Aurora 2
1754,1754,Tsyklon-3 ,Cosmos 2143 to 2148
1755,1755,Atlas-E/F Star-37S-ISS ,NOAA-D
1756,1756,Space Shuttle Discovery ,STS-39
1757,1757,Tsyklon-3 ,Meteor-3 nâ€ Â­4
1758,1758,Atlas I ,Yuri 3H
1759,1759,Cosmos-3M (11K65M) ,Cosmos 2142
1760,1760,Delta II 7925 ,ASC-2 (Spacenet F4)
1761,1761,Space Shuttle Atlantis ,STS-37
1762,1762,Ariane 44P ,Anik E2
1763,1763,Molniya-M /Block ML ,Molniya-3 nâ€ Â­148
1764,1764,Cosmos-3M (11K65M) ,Cosmos 2137
1765,1765,Cosmos-3M (11K65M) ,Nadiezhda nâ€ Â­6
1766,1766,Delta II 6925 ,Inmarsat-2 F2
1767,1767,Titan IV(403)A ,Lacrosse
1768,1768,Ariane 44LP ,Astra 1B
1769,1769,Cosmos-3M (11K65M) ,Cosmos 2135
1770,1770,Molniya-M /Block ML ,Molniya-1 nâ€ Â­147
1771,1771,Cosmos-3M (11K65M) ,Cosmos 2125 to 2132
1772,1772,Cosmos-3M (11K65M) ,Cosmos 2123
1773,1773,Cosmos-3M (11K65M) ,Oscar-21
1774,1774,Tsyklon-2 ,Cosmos 2122
1775,1775,Ariane 44L ,Italsat-1
1776,1776,Delta II 7925 ,NATO 4A
1777,1777,Tsyklon-3 ,Cosmos 2114 to 2119
1778,1778,Cosmos-3M (11K65M) ,Cosmos 2112
1779,1779,Tsyklon-2 ,Cosmos 2107
1780,1780,Space Shuttle Columbia ,STS-35
1781,1781,Atlas-E/F Star-37S-ISS ,DMSP F-10
1782,1782,Tsyklon-3 ,Cosmos 2106
1783,1783,Delta II 7925 ,USA-66 (GPS IIA-1)
1784,1784,Molniya-M /Block ML ,Molniya-1 nâ€ Â­146
1785,1785,Rokot/Briz K ,GVM Demo Flight
1786,1786,Ariane 42P ,Satcom C1
1787,1787,Molniya-M /Block 2BL ,Cosmos 2105
1788,1788,Space Shuttle Atlantis ,STS-38
1789,1789,Tsyklon-2 ,Cosmos 2103
1790,1790,Titan IV(402)A ,DSP
1791,1791,Delta II 6925 ,Inmarsat-2 F1
1792,1792,Delta II 6925 ,Thor 1
1793,1793,Ariane 44L ,SBS-6
1794,1794,Space Shuttle Discovery ,STS-41
1795,1795,Long March 2C ,FSW-1 No.3
1796,1796,Zenit-2 ,Tselina-2 nâ€ Â­8
1797,1797,Delta II 6925 ,USA-63 (GPS II-8)
1798,1798,Tsyklon-3 ,Meteor-2 nâ€ Â­20
1799,1799,Molniya-M /Block ML ,Molniya-3 nâ€ Â­145
1800,1800,Cosmos-3M (11K65M) ,Cosmos 2100
1801,1801,Long March 4A ,Fengyun-1B
1802,1802,Ariane 44L ,Skynet 4C
1803,1803,Cosmos-3M (11K65M) ,Cosmos 2098
1804,1804,H-I UM-129A (9SO) ,BS-3A
1805,1805,H-I (9 SO) ,BS-3A (Yuri-3A)
1806,1806,Molniya-M /Block 2BL ,Cosmos 2097
1807,1807,Tsyklon-2 ,Cosmos 2096
1808,1808,Molniya-M /Block ML ,Molniya-1 nâ€ Â­144
1809,1809,Tsyklon-3 ,Cosmos 2090 to 2095
