spacecraftUsedID INTEGER,projectID INTEGER ,launcherName VARCHAR(256),spacecraftName VARCHAR(256)
566,566,PSLV-XL ,IRNSS-1B
567,567,Soyuz ST-A/Fregat-M ,Sentinel 1A
568,568,Atlas V 401 ,DMSP-5D3 F19
569,569,Ariane 5 ECA ,Astra 5B
570,570,H-IIA 202 ,GPM-Core 
571,571,Delta IV Medium+ (42) ,GPS IIF-5
572,572,Ariane 5 ECA ,ABS-2
573,573,Atlas V 401 ,TDRS-L
574,574,Antares 120 ,CRS Orb-1
575,575,Falcon 9 v1.1 ,Thaicom 6
576,576,GSLV Mk II ,GSAT-14
577,577,Soyuz 2.1v/Volga ,Cosmos 2492 and 2493 
578,578,Rokot/Briz KM ,Cosmos 2488 to 2491
579,579,Soyuz ST-B/Fregat-MT ,Gaia
580,580,Atlas V 501 ,NROL-39
581,581,Falcon 9 v1.1 ,SES-8
582,582,Rokot/Briz KM ,SWARM
583,583,Dnepr ,DubaiSat 2 
584,584,Minotaur I ,ORS-3
585,585,Atlas V 401 ,MAVEN
586,586,PSLV-XL ,Mars Orbiter Mission
587,587,Falcon 9 v1.1 ,CASSIOPE
588,588,Kuaizhou 1 ,Kuaizhou 1
589,589,Atlas V 531 ,AEHF-3
590,590,Epsilon Demo ,SPRINT-A
591,591,Antares 110 ,CRS Orb-D1
592,592,Rokot/Briz KM ,Goniets-M 14
593,593,Minotaur V ,LADEE
594,594,Zenit-3 SLB ,AMOS 4
595,595,Ariane 5 ECA ,Eutelsat 25B/Es'hail 1
596,596,Delta IV Heavy ,NROL-65
597,597,Dnepr ,KompSat-5
598,598,Delta IV Medium+ (54) ,WGS-6
599,599,H-IIB ,HTV-4
600,600,Ariane 5 ECA ,Alphasat I-XL
601,601,Atlas V 551 ,MUOS-2
602,602,Proton-M/DM-3 ,Cosmos 2488
603,603,PSLV-XL ,IRNSS-1A
604,604,Pegasus XL ,IRIS
605,605,Strela ,Cosmos 2487
606,606,Soyuz ST-B/Fregat-MT ,O3b FM01-FM02/FM04-FM05
607,607,Long March 2F/G ,Shenzhou 10
608,608,Ariane 5 ES ,Albert Einstein ATV
