agencyName VARCHAR(256) primary key,agencyAcr VARCHAR(256),countryName VARCHAR(256),altName VARCHAR(256),yearFound INT,evActivity BIT,spaceRD BIT,spaceStation BIT,humanFlight BIT,multipleSat BIT,extraProbe BIT
Comisión Nacional de Actividades Espaciales,CONAE,Argentina,Comisión Nacional de Investigaciones Espaciales,1991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Research Organization for Aeronautics and Space,LAPAN,Indonesia,,1964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
National Remote Sensing Center of Mongolia,NRSC,Mongolia,,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Centre national de la cartographie et de la télédétection,CNCT,Tunisia,المركز الوطني للإستشعار عن بعد,1988,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Space Research and Technology Agency under the Cabinet of Ministers of the Republic of Uzbekistan,Uzbekspace agency,Uzbekistan,,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
State Space Agency of Ukraine,SSAU,Ukraine,,1992,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
National Space Organization,NSPO,Taiwan,,1991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
National Space Research and Development Agency,NASRDA,Nigeria,,1998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Netherlands Institute for Space Research,SRON,Netherlands,,1983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Norwegian Space Agency,NOSA,Norway,Norwegian Space Centre,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Pakistan Space and Upper Atmosphere Research Commission,SUPARCO,Pakistan,,1961,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Polish Space Agency,POLSA,Poland,Centrum Badań Kosmicznych PAN,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Portugal Space,PTSPACE,Portugal,,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Romanian Space Agency,ROSA,Romania,Agenția Spațială Română,1991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Egypt Remote Sensing Center (defunct),EASRT-RSC,Egypt,,1971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Centre Royal de Télédétection Spatiale,CRTS,Morocco,Ammas Amrrukan n Tallunt,1989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Roscosmos,ROSCOSMOS,Russia,,1991,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Russian Aerospace Forces,VKS RF,Russia,,2015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Turkish Space Agency,TUA,Turkey,Türkiye Uzay Ajansı,1985,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
South African National Space Agency,SANSA,South Africa,,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Saudi Space Commission,SSC,Saudi Arabia,,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vietnam National Space Center,VNSC,Vietnam,Trung tâm Vũ trụ Việt Nam,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Swedish National Space Agency,SNSA,Sweden,,1972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Swiss Space Office,SSO,Switzerland,,1998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Turkmenistan National Space Agency,TNSA,Turkmenistan,,2011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
United Nations Office for Outer Space Affairs,UNOOSA,United Nations,,1958,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
United Nations Committee on the Peaceful Uses of Outer Space,UNCOPUOS,United Nations,,1959,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
United Arab Emirates Space Agency,UAESA,United Arab Emirates,,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
United States Space Force,USSF,United States,,2019,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Mohammed bin Rashid Space Centre,MBRSC,United Arab Emirates,Emirates Institution for Advanced Science and Technology,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Syrian Space Agency,SSA,Syria,,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Strategic Rocket Forces,RVSN USSR,Soviet Union,,1959,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Space Exploration Technologies Corp.,SpaceX,United States,,2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
