flightID INTEGER primary key IDENTITY(1,1),spacecraftName VARCHAR(256),personID INTEGER references astronaut on delete cascade,flightYear INTEGER
171,STS-99 ,171,2000
172,Vostok 2 ,172,1961
173,STS-51-L ,173,1986
174,STS-125 ,174,2009
175,STS-124 ,175,2008
176,STS-123 ,176,2008
177,STS-39 ,177,1991
178,STS-83 ,178,1997
179,Soyuz TMA-7 ,179,2005
180,Soyuz TMA-13M ,180,2014
181,STS-8 ,181,1983
182,STS-27 ,182,1988
183,Soyuz TMA-16 ,183,2009
184,STS-55 ,184,1993
185,Apollo 17 ,185,1972
186,Soyuz MS-15 ,186,2019
187,STS-115 ,187,2006
188,Soyuz TM-12 ,188,1991
189,STS-4 ,189,1982
190,Soyuz T-12 ,190,1984
191,STS-107 ,191,2003
192,Soyuz TM-29 ,192,1999
193,Soyuz MS-16 ,193,2020
194,Soyuz MS-04 ,194,2017
195,Skylab 3 ,195,1973
196,STS-41-C ,196,1984
197,STS-28 ,197,1989
198,STS-51-C ,198,1985
199,STS-131 ,199,2010
200,STS-89 ,200,1998
201,STS-51 ,201,1993
202,STS-65 ,202,1994
203,Apollo 15 ,203,1971
204,STS-102 ,204,2001
205,Gemini 4 ,205,1965
206,STS-29 ,206,1989
207,STS-90 ,207,1998
208,STS-44 ,208,1991
209,STS-32 ,209,1990
210,STS-91 ,210,1998
211,STS-57 ,211,1993
212,STS-90 ,212,1998
213,STS-66 ,213,1994
214,STS-78 ,214,1996
215,Soyuz T-6 ,215,1982
216,Soyuz TM-17 ,216,1993
217,STS-93 ,217,1999
218,STS-51-D ,218,1985
219,STS-101 ,219,2000
220,STS-37 ,220,1991
221,STS-61-B ,221,1985
222,STS-64 ,222,1994
223,Soyuz MS-15 ,223,2019
224,Gemini 7 ,224,1965
225,Shenzhou 7 ,225,2008
226,STS-116 ,226,2006
227,STS-89 ,227,1998
228,STS-2 ,228,1981
229,Apollo 13 ,229,1970
230,STS-29 ,230,1989
231,STS-36 ,231,1990
232,STS-117 ,232,2007
233,STS-7 ,233,1983
234,Mercury-Atlas 6 ,234,1962
235,STS-67 ,235,1995
236,STS-113 ,236,2002
237,STS-51-I ,237,1985
238,STS-51-G ,238,1985
239,STS-100 ,239,2001
240,Gemini 3 ,240,1965
241,STS-51-F ,241,1985
242,STS-41-G ,242,1984
243,X-15 flight 90 ,243,1963
244,Skylab 2 ,244,1973
245,STS-119 ,245,2009
246,STS-5 ,246,1982
247,STS-66 ,247,1994
248,STS-128 ,248,2009
249,STS-41-D ,249,1984
250,STS-96 ,250,1999
251,Soyuz 39 ,251,1981
252,STS-125 ,252,2009
253,STS-87 ,253,1997
254,STS-124 ,254,2008
255,STS-51-F ,255,1985
256,STS-6 ,256,1983
257,Soyuz MS-01 ,257,2016
258,STS-90 ,258,1998
259,STS-41-G ,259,1984
260,STS-33 ,260,1989
261,STS-50 ,261,1992
262,STS-56 ,262,1993
263,STS-37 ,263,1991
264,STS-124 ,264,2008
265,STS-48 ,265,1991
266,STS-73 ,266,1995
267,STS-128 ,267,2009
268,STS-70 ,268,1995
269,STS-49 ,269,1992
270,Soyuz TMA-17M ,270,2015
271,Soyuz TMA-17M ,271,2015
272,Soyuz TM-13 ,272,1991
273,STS-72 ,273,1996
274,Voskhod 1 ,274,1964
275,Soyuz TM-33 ,275,2001
276,Mercury-Atlas 9 ,276,1963
277,STS-107 ,277,2003
278,STS-50 ,278,1992
279,STS-117 ,279,2007
280,STS-110 ,280,2002
281,STS-122 ,281,2008
282,STS-87 ,282,1997
283,Soyuz T-3 ,283,1980
284,Soyuz 35 ,284,1980
285,STS-65 ,285,1994
286,Soyuz 15 ,286,1974
287,STS-37 ,287,1991
288,STS-121 ,288,2006
289,Shenzhou 7 ,289,2008
290,Shenzhou 9 ,290,2012
291,Shenzhou 9 ,291,2012
292,STS-39 ,292,1991
293,STS-51-B ,293,1985
294,STS-51-F ,294,1985
295,STS-51-C ,295,1985
296,Soyuz TMA-09M ,296,2013
297,Soyuz TM-27 ,297,1998
298,STS-47 ,298,1992
299,Soyuz TMA-16 ,299,2009
300,STS-47 ,300,1992
301,STS-41-G ,301,1984
302,Soyuz TMA-8 ,302,2006
303,STS-44 ,303,1991
304,STS-28 ,304,1989
305,STS-30 ,305,1989
306,STS-108 ,306,2001
307,STS-98 ,307,2001
308,Soyuz TM-34 ,308,2002
309,Soyuz MS-06 ,309,2017
310,STS-32 ,310,1990
311,STS-58 ,311,1993
312,STS-70 ,312,1995
313,STS-61-B ,313,1985
314,STS-75 ,314,1996
315,STS-43 ,315,1991
316,STS-41-D ,316,1984
317,Gemini 10 ,317,1966
318,Soyuz TMA-4 ,318,2004
319,STS-45 ,319,1992
320,STS-123 ,320,2008
321,STS-121 ,321,2006
322,STS-69 ,322,1995
323,STS-86 ,323,1997
324,STS-34 ,324,1989
325,STS-51-L ,325,1986
326,STS-73 ,326,1995
327,STS-109 ,327,2002
328,SpaceShipOne flight 15P ,328,2004
329,STS-89 ,329,1998
330,Soyuz TMA-14 ,330,2009
331,STS-53 ,331,1992
332,Soyuz TMA-10M ,332,2013
333,STS-125 ,333,2009
334,Soyuz TM-15 ,334,1992
335,Soyuz TMA-18 ,335,2010
336,STS-105 ,336,2001
337,STS-40 ,337,1991
338,Soyuz 30 ,338,1978
339,Soyuz TM-3 ,339,1987
340,Soyuz TM-4 ,340,1987
341,STS-57 ,341,1993
342,STS-47 ,342,1992
343,STS-131 ,343,2010
344,Gemini 8 ,344,1966
345,STS-116 ,345,2006
346,Soyuz MS-12 ,346,2019
347,STS-128 ,347,2009
348,STS-71 ,348,1995
349,Soyuz 10 ,349,1971
350,Shenzhou 6 ,350,2005
351,Soyuz MS-07 ,351,2017
352,STS-7 ,352,1983
353,Soyuz TMA-12M ,353,2014
354,Soyuz T-10 ,354,1984
355,Soyuz TMA-12 ,355,2008
356,Soyuz TMA-10 ,356,2007
357,Soyuz 12 ,357,1973
358,Soyuz TMA-06M ,358,2012
359,Soyuz TMA-01M ,359,2010
360,Skylab 3 ,360,1973
361,STS-92 ,361,2000
362,STS-120 ,362,2007
363,STS-51-G ,363,1985
364,STS-105 ,364,2001
365,STS-111 ,365,2002
366,STS-41-G ,366,1984
367,STS-102 ,367,2001
368,Skylab 2 ,368,1973
369,Voskhod 2 ,369,1965
370,Vostok 4 ,370,1962
371,Soyuz TM-26 ,371,1997
372,STS-95 ,372,1998
373,STS-111 ,373,2002
374,STS-57 ,374,1993
375,Soyuz 13 ,375,1973
376,STS-111 ,376,2002
377,Soyuz 37 ,377,1980
378,STS-36 ,378,1990
379,STS-112 ,379,2002
380,Soyuz T-11 ,380,1984
381,STS-129 ,381,2009
382,STS-61-A ,382,1985
383,Soyuz TM-25 ,383,1997
384,STS-110 ,384,2002
385,STS-51-D ,385,1985
386,Soyuz TMA-13 ,386,2008
387,Gemini 11 ,387,1966
388,STS-39 ,388,1991
389,STS-78 ,389,1996
390,STS-106 ,390,2000
391,STS-41-D ,391,1984
392,STS-28 ,392,1989
393,STS-51-I ,393,1985
394,STS-119 ,394,2009
395,STS-58 ,395,1993
396,STS-2 ,396,1981
397,STS-96 ,397,1999
398,STS-1 ,398,1981
399,STS-85 ,399,1997
400,STS-41 ,400,1990
401,STS-61-C ,401,1986
402,STS-123 ,402,2008
403,STS-41-B ,403,1984
404,STS-5 ,404,1982
405,STS-9 ,405,1983
406,STS-126 ,406,2008
407,STS-129 ,407,2009
408,STS-29 ,408,1989
409,STS-41-B ,409,1984
410,STS-78 ,410,1996
411,STS-42 ,411,1992
412,Soyuz TM-34 ,412,2002
413,STS-61-B ,413,1985
414,STS-83 ,414,1997
415,Soyuz TMA-15 ,415,2009
416,STS-35 ,416,1990
